id_type,price,address,number_of_part,img_link
Location,600000,"Mariste, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_5018279_uploaded_image1_1730300531.jpg
Location,550000,"Mbao, Dakar, Sénégal",1,https://images.coinafrique.com/thumb_4990077_uploaded_image1_1728737349.jpg
Vente,349622698,"Rufisque, Sénégal",9,https://images.coinafrique.com/thumb_5017625_uploaded_image1_1730275656.jpg
Vente,349622698,"Mbao, Dakar, Sénégal",4,https://images.coinafrique.com/thumb_5017107_uploaded_image1_1730237406.jpg
Location,400000,"Mermoz-Sacré Coeur, Dakar, Sénégal",3,https://images.coinafrique.com/thumb_4975588_uploaded_image1_1727979489.jpg
Vente,42000000,"Keur Massar, Sénégal",4,https://images.coinafrique.com/thumb_5015936_uploaded_image1_1730195421.jpg
Location,950000,"Sacré-Coeur, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_5015476_uploaded_image1_1730157932.jpg
Location,349622698,"Mermoz-Sacré Coeur, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_4971419_uploaded_image1_1727815731.jpg
Vente,170000000,"Sicap Liberté, Dakar, Sénégal",2,https://images.coinafrique.com/thumb_4970632_uploaded_image1_1727790215.jpg
Vente,97000000,"Sicap Liberté, Dakar, Sénégal",1,https://images.coinafrique.com/thumb_5014451_uploaded_image1_1730110394.jpg
Vente,15000000,"Keur Massar, Sénégal",4,https://images.coinafrique.com/thumb_4972778_uploaded_image1_1727877765.jpg
Villa,89000000,"Ngaparou, Sénégal",1,https://images.coinafrique.com/thumb_4964659_uploaded_image1_1727440945.14.jpeg
Vente,200000000,"Mbour, Sénégal",4,https://images.coinafrique.com/thumb_5012728_uploaded_image1_1729971970.jpg
Vente,63000000,"Rufisque, Sénégal",4,https://images.coinafrique.com/thumb_4971186_uploaded_image1_1727807135.jpg
Vente,450000000,"Point E, Dakar, Sénégal",8,https://images.coinafrique.com/thumb_5012306_uploaded_image1_1729946735.jpg
Location,1500000,"Ouest Foire, Dakar, Sénégal",8,https://images.coinafrique.com/thumb_5012105_uploaded_image1_1729936643.jpg
Location,1800000,"Mermoz-Sacré Coeur, Dakar, Sénégal",8,https://images.coinafrique.com/thumb_4962526_uploaded_image1_1727312647.jpg
Location,1800000,"Almadies, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_4962517_uploaded_image1_1727312089.jpg
Location,3000000,"Almadies, Dakar, Sénégal",9,https://images.coinafrique.com/thumb_4962482_uploaded_image1_1727309232.jpg
Vente,50000000,"Mermoz-Sacré Coeur, Dakar, Sénégal",5,https://images.coinafrique.com/thumb_5010114_uploaded_image1_1729802755.jpg
Vente,1000000,"Dakar, Sénégal",3,https://images.coinafrique.com/thumb_5009380_uploaded_image1_1729775597.jpg
